Date,Jump,flight_height_tov
2022-08-02,Jump 1,27.19
2022-08-02,Jump 2,26.54
2022-08-02,Jump 3,25.47
2022-08-04,Jump 1,27.82
2022-08-04,Jump 2,27.19
2022-08-04,Jump 3,29.64
2022-09-13,Jump 1,26.12
2022-09-13,Jump 2,25.66
2022-09-13,Jump 3,24.59
2022-09-15,Jump 1,26.94
2022-09-15,Jump 2,26.94
2022-09-15,Jump 3,26.17
2022-09-22,Jump 1,27.15
2022-09-22,Jump 2,25.78
2022-09-22,Jump 3,25.58
2022-09-23,Jump 1,27.33
2022-09-23,Jump 2,26.78
2022-09-23,Jump 3,26.65
2022-09-29,Jump 1,28.02
2022-09-29,Jump 2,27.49
2022-09-29,Jump 3,26.72
2022-09-30,Jump 1,28.61
2022-09-30,Jump 2,28.05
2022-09-30,Jump 3,26.24
2023-11-02,Jump 1,21.57
2023-11-02,Jump 2,19.98
2023-11-02,Jump 3,20.01
2023-11-14,Jump 1,23.82
2023-11-14,Jump 2,22.89
2023-11-14,Jump 3,22.39
2024-02-09,Jump 1,25.49
2024-02-09,Jump 2,24.11
2024-02-09,Jump 3,23.08
2024-02-16,Jump 1,24.38
2024-02-16,Jump 2,23.46
2024-02-16,Jump 3,23.4
2024-02-23,Jump 1,26.07
2024-02-23,Jump 2,25.07
2024-02-23,Jump 3,23.52
2024-02-26,Jump 1,24.88
2024-02-26,Jump 2,24.66
2024-02-26,Jump 3,24.13
2024-03-01,Jump 1,27.01
2024-03-01,Jump 2,25.52
2024-03-01,Jump 3,25.29
2024-03-04,Jump 1,27.15
2024-03-04,Jump 2,26.35
2024-03-04,Jump 3,24.73
2024-03-11,Jump 1,26.48
2024-03-11,Jump 2,25.91
2024-03-11,Jump 3,25.19
2024-03-13,Jump 1,27.34
2024-03-13,Jump 2,25.92
2024-03-13,Jump 3,25.57
2024-03-15,Jump 1,27.63
2024-03-15,Jump 2,26.04
2024-03-15,Jump 3,25.26
2024-03-20,Jump 1,26.39
2024-03-20,Jump 2,26
2024-03-20,Jump 3,25.87
2024-04-15,Jump 1,27.36
2024-04-15,Jump 2,26.72
2024-04-15,Jump 3,26.69
2024-04-22,Jump 1,28.28
2024-04-22,Jump 2,26.48
2024-04-22,Jump 3,26.61
2024-04-23,Jump 1,27.61
2024-04-23,Jump 2,26.39
2024-04-23,Jump 3,26.49
2024-05-01,Jump 1,27.34
2024-05-01,Jump 2,26.19
2024-05-01,Jump 3,25.66
2024-05-06,Jump 1,27.14
2024-05-06,Jump 2,27.41
2024-05-06,Jump 3,27.07
2024-05-08,Jump 1,27.81
2024-05-08,Jump 2,27.46
2024-05-08,Jump 3,27.15
2024-06-03,Jump 1,29.84
2024-06-03,Jump 2,28.18
2024-06-03,Jump 3,28.52
2024-06-05,Jump 1,29.3
2024-06-05,Jump 2,28.31
2024-06-05,Jump 3,27.79
2024-06-12,Jump 1,29.18
2024-06-12,Jump 2,27.32
2024-06-12,Jump 3,27.76
2024-06-14,Jump 1,27.71
2024-06-14,Jump 2,28.23
2024-06-14,Jump 3,27.72
2024-07-18,Jump 1,29.14
2024-07-18,Jump 2,27.39
2024-07-18,Jump 3,27.26
2024-07-22,Jump 1,28.89
2024-07-22,Jump 2,29.25
2024-07-22,Jump 3,28.84
2024-08-09,Jump 1,30.35
2024-08-09,Jump 2,29.04
2024-08-09,Jump 3,28.47
2024-08-14,Jump 1,28.12
2024-08-14,Jump 2,30.13
2024-08-14,Jump 3,29.34
