Date,Subject Mass,Jump,Peak Power,PP/kg,Flight Height (TOV),RSImod,Peak Force,PF N/N,SHT Time,ECC Time,CM Depth,Time to TakeOff
2022-08-02,71.15,Jump 1,2875.4,40.41,27.19,0.26,1368.2,1.96,0.368,0.677,-43.39,1.04
2022-08-02,71.15,Jump 2,2885.5,40.55,26.54,0.27,1408.6,2.02,0.379,0.594,-45.05,0.97
2022-08-02,71.15,Jump 3,2800.9,39.37,25.47,0.25,1349.3,1.93,0.389,0.626,-43.75,1.02
2022-08-04,71.15,Jump 1,2970,41.74,27.82,0.27,1330.2,1.91,0.385,0.646,-45.11,1.03
2022-08-04,71.15,Jump 2,2959.4,41.6,27.19,0.26,1355.9,1.94,0.389,0.644,-44.01,1.03
2022-08-04,71.15,Jump 3,3038.1,42.7,29.64,0.3,1417.4,2.03,0.392,0.599,-41.63,0.99
2022-09-13,68.85,Jump 1,2831.5,41.12,26.12,0.22,1296.8,1.92,0.412,0.784,-43.23,1.2
2022-09-13,68.85,Jump 2,2796.1,40.61,25.66,0.22,1305,1.93,0.404,0.778,-44.29,1.18
2022-09-13,68.85,Jump 3,2744.9,39.87,24.59,0.23,1320.9,1.96,0.393,0.677,-45.27,1.07
2022-09-15,69.25,Jump 1,2946.8,42.55,26.94,0.24,1367.8,2.01,0.423,0.706,-44.12,1.13
2022-09-15,69.25,Jump 2,2854.9,41.22,26.94,0.26,1312.5,1.93,0.395,0.658,-44.27,1.05
2022-09-15,69.25,Jump 3,2823.9,40.78,26.17,0.23,1293.7,1.9,0.402,0.715,-44.33,1.12
2022-09-22,70.08,Jump 1,2906.5,41.47,27.15,0.23,1344.8,1.96,0.392,0.773,-45.74,1.17
2022-09-22,70.08,Jump 2,2767.2,39.48,25.78,0.23,1313,1.91,0.415,0.698,-45.75,1.11
2022-09-22,70.08,Jump 3,2727.1,38.91,25.58,0.21,1342.2,1.95,0.402,0.802,-45.94,1.2
2022-09-23,68.52,Jump 1,2909.1,42.46,27.33,0.25,1332.2,1.98,0.4,0.682,-44.81,1.08
2022-09-23,68.52,Jump 2,2830.3,41.3,26.78,0.23,1314.7,1.96,0.406,0.762,-45.57,1.17
2022-09-23,68.52,Jump 3,2798.9,40.85,26.65,0.23,1387.4,2.06,0.377,0.799,-45.59,1.18
2022-09-29,69.81,Jump 1,3051.7,43.72,28.02,0.26,1374.9,2.01,0.392,0.706,-44.19,1.1
2022-09-29,69.81,Jump 2,2918.7,41.81,27.49,0.26,1395.7,2.04,0.377,0.664,-44.55,1.04
2022-09-29,69.81,Jump 3,2851.8,40.85,26.72,0.25,1300.1,1.9,0.401,0.668,-46.93,1.07
2022-09-30,69.66,Jump 1,3004.3,43.13,28.61,0.26,1344.2,1.97,0.388,0.701,-46.8,1.09
2022-09-30,69.66,Jump 2,2935,42.14,28.05,0.23,1370.3,2.01,0.391,0.827,-46.52,1.22
2022-09-30,69.66,Jump 3,2836.3,40.72,26.24,0.23,1317.5,1.93,0.411,0.726,-47.15,1.14
2023-11-02,75.37,Jump 1,2602.6,34.53,21.57,0.17,1294.6,1.75,0.425,0.812,-43.88,1.24
2023-11-02,75.37,Jump 2,2515.5,33.37,19.98,0.16,1284.4,1.74,0.443,0.785,-44.11,1.23
2023-11-02,75.37,Jump 3,2477.4,32.87,20.01,0.17,1306.2,1.77,0.428,0.753,-44.19,1.18
2023-11-14,75.22,Jump 1,2806.6,37.31,23.82,0.21,1338.9,1.81,0.419,0.714,-44.13,1.13
2023-11-14,75.22,Jump 2,2775.2,36.9,22.89,0.2,1343.9,1.82,0.417,0.719,-43.44,1.14
2023-11-14,75.22,Jump 3,2709.8,36.03,22.39,0.19,1364.4,1.85,0.423,0.736,-45.13,1.16
2024-02-09,74.11,Jump 1,2967.5,40.04,25.49,0.23,1402.1,1.93,0.409,0.721,-39.92,1.13
2024-02-09,74.11,Jump 2,2837,38.28,24.11,0.18,1354.6,1.86,0.426,0.928,-43.3,1.35
2024-02-09,74.11,Jump 3,2733.2,36.88,23.08,0.21,1313.1,1.81,0.415,0.672,-44.26,1.09
2024-02-16,74.31,Jump 1,2841.4,38.24,24.38,0.23,1344,1.84,0.406,0.671,-43.45,1.08
2024-02-16,74.31,Jump 2,2772.3,37.31,23.46,0.21,1340,1.84,0.399,0.709,-44.27,1.11
2024-02-16,74.31,Jump 3,2774.3,37.33,23.4,0.21,1359.4,1.86,0.415,0.712,-45.78,1.13
2024-02-23,73.45,Jump 1,3023.9,41.17,26.07,0.24,1414.4,1.96,0.393,0.68,-43.47,1.07
2024-02-23,73.45,Jump 2,2860.3,38.94,25.07,0.24,1342.1,1.86,0.389,0.673,-44.08,1.06
2024-02-23,73.45,Jump 3,2776.6,37.8,23.52,0.22,1378.7,1.91,0.394,0.679,-46.01,1.07
2024-02-26,75.26,Jump 1,2976.2,39.54,24.88,0.23,1402.1,1.9,0.39,0.673,-43.65,1.06
2024-02-26,75.26,Jump 2,2901.8,38.56,24.66,0.23,1369.1,1.85,0.412,0.666,-44.6,1.08
2024-02-26,75.26,Jump 3,2866.1,38.08,24.13,0.21,1358.1,1.84,0.398,0.761,-44.49,1.16
2024-03-01,74.11,Jump 1,3096.4,41.78,27.01,0.25,1422.3,1.96,0.39,0.693,-41.44,1.08
2024-03-01,74.11,Jump 2,2930.7,39.55,25.52,0.24,1375.6,1.89,0.402,0.665,-46.84,1.07
2024-03-01,74.11,Jump 3,2872.4,38.76,25.29,0.22,1373.1,1.89,0.397,0.767,-44.91,1.16
2024-03-04,74.08,Jump 1,3068.3,41.42,27.15,0.24,1399.4,1.93,0.401,0.716,-44.85,1.12
2024-03-04,74.08,Jump 2,2933,39.59,26.35,0.26,1452.6,2,0.391,0.616,-45.48,1.01
2024-03-04,74.08,Jump 3,2864,38.66,24.73,0.23,1412.1,1.94,0.396,0.671,-46.13,1.07
2024-03-11,74.16,Jump 1,3012.5,40.62,26.48,0.26,1383.8,1.9,0.378,0.654,-43.72,1.03
2024-03-11,74.16,Jump 2,2984.6,40.24,25.91,0.25,1472.2,2.02,0.379,0.651,-44.73,1.03
